M,gamma,Q,index,xi,comparison_kind,theta_deg,beta_closed_deg,beta_numeric_deg,beta_abs_error_deg,theta_back_error_deg,original_ratio_rel_residual,raw_radical_rel_residual,cubic_rel_residual,u,u_minus_u_cj,R,D,D_minus_R2,real_root_count,accepted_root_count
5.0,1.2,2.0,20,1.0,detachment endpoint,47.845339338378224,70.15419210167491,70.15419228212562,1.8045070363007894e-07,1.2722218725854067e-14,7.891900610532522e-16,7.891900610532522e-16,1.1222586954019083e-16,22.118662736895132,18.96954536478878,20.336106078777142,413.5572104472768,1.7053025658242404e-13,2,1
5.0,1.2,5.0,0,0.0,CJ endpoint,9.506333054362042,27.92872863164051,27.92872863164051,0.0,0.0,0.0,0.0,2.6409206362307867e-17,5.484328953431143,-8.881784197001252e-16,1.7763568394002505e-15,-7.105427357601002e-15,-7.105427357601005e-15,1,1
5.0,1.2,5.0,1,0.05,same-theta Brent root,11.257208840478485,28.195296858794517,28.195296858794432,8.587497639951495e-14,3.021526947390341e-13,1.9047486360300975e-14,1.9047486360300975e-14,1.9335910899806584e-15,5.5808964629528335,0.09656750952169002,0.7220286514166405,0.5213253734667269,1.942890293094024e-13,3,2
5.0,1.2,5.0,2,0.1,same-theta Brent root,13.008084626594927,28.86258240219252,28.862582402191887,6.297498269297763e-13,1.3469649075997994e-12,8.94689055809745e-14,8.94689055809745e-14,1.4316917833397242e-14,5.825236856024348,0.34090790259320425,1.3869783384434973,1.9237089113131276,1.6431300764452317e-12,3,2
5.0,1.2,5.0,3,0.15000000000000002,same-theta Brent root,14.758960412711373,29.802713411970007,29.802713411970036,2.5444437451708134e-14,5.088887490341627e-14,3.542561868868216e-15,3.542561868868216e-15,7.046029192457809e-16,6.175599149329959,0.6912701958988157,2.035426983952484,4.142963007001814,-9.14823772291129e-14,3,2
5.0,1.2,5.0,4,0.2,same-theta Brent root,16.509836198827813,30.942254624081496,30.942254624081478,1.90833280887811e-14,2.2263882770244617e-14,1.525171763808024e-15,1.525171763808024e-15,3.5000632226185873e-16,6.609370501257069,1.1250415478259255,2.688992174730836,7.230678915763729,5.861977570020827e-14,3,2
5.0,1.2,5.0,5,0.25,same-theta Brent root,18.260711984944255,32.23613762125563,32.23613762125539,2.4172215579122726e-13,3.0851380410196113e-13,2.2959067368172026e-14,2.2959067368172026e-14,4.669354294738401e-15,7.113152539365983,1.62882358593484,3.3599218232791106,11.289074658548166,9.43245481721533e-13,3,2
5.0,1.2,5.0,6,0.30000000000000004,same-theta Brent root,20.0115877710607,33.65536174545224,33.65536174545224,0.0,6.3611093629270335e-15,4.857178338237785e-16,4.857178338237785e-16,2.1554521437484476e-16,7.678332835858857,2.1940038824277135,4.055396700902985,16.446242401694793,-2.4868995751603507e-14,3,2
5.0,1.2,5.0,7,0.35000000000000003,same-theta Brent root,21.762463557177142,35.18074948565866,35.18074948565871,4.4527765540489235e-14,5.406942958487979e-14,4.208296017141574e-15,4.208296017141574e-15,7.893781409748296e-16,8.298943399423866,2.8146144459927225,4.779656432921997,22.845115616772382,-2.4513724383723456e-13,3,2
5.0,1.2,5.0,8,0.4,same-theta Brent root,23.513339343293588,36.79960288423895,36.79960288423886,8.905553108097847e-14,9.54166404439055e-14,7.28931175208906e-15,7.28931175208906e-15,1.2402893104845886e-15,8.9705655652128,3.4862366117816563,5.535146040552315,30.63784169024244,4.654054919228656e-13,3,2
5.0,1.2,5.0,9,0.45,same-theta Brent root,25.264215129410026,38.50386694359771,38.50386694359775,4.4527765540489235e-14,4.134721085902572e-14,3.1520830990289224e-15,3.1520830990289224e-15,7.572794047893916e-16,9.689755874073901,4.205426920642758,6.323191621277806,39.98275227939757,-2.7000623958883807e-13,3,2
5.0,1.2,5.0,10,0.5,same-theta Brent root,27.01509091552647,40.289151440187695,40.289151440187624,6.997220299219736e-14,6.679164831073386e-14,5.190495564344312e-15,5.190495564344312e-15,1.06501633452278e-15,10.453755602989514,4.96942664955837,7.144442440813248,51.04305779009407,5.115907697472721e-13,3,2
5.0,1.2,5.0,11,0.55,same-theta Brent root,28.765966701642913,42.154311421482184,42.154311421482134,5.088887490341627e-14,5.088887490341627e-14,3.969822874656608e-15,3.969822874656608e-15,6.132168293393815e-16,11.260375053240997,5.776046099809854,7.99920335854053,63.98725437128654,4.405364961712621e-13,3,2
5.0,1.2,5.0,12,0.6000000000000001,same-theta Brent root,30.516842487759362,44.10147728509214,44.10147728509211,2.5444437451708134e-14,2.5444437451708134e-14,1.9931411227878696e-15,1.9931411227878696e-15,2.33473108482691e-16,12.108009781201476,6.6236808277703325,8.887735675348475,78.99184543486226,2.4158453015843406e-13,3,2
5.0,1.2,5.0,13,0.65,same-theta Brent root,32.2677182738758,46.13656794944786,46.13656794944778,7.63333123551244e-14,5.724998426634331e-14,4.425910636576404e-15,4.425910636576404e-15,8.509005196758438e-16,12.995791235565155,7.511462282134012,9.810594927773526,96.24777283685623,5.968558980384842e-13,3,2
5.0,1.2,5.0,14,0.7000000000000001,same-theta Brent root,34.01859405999224,48.27049565542803,48.27049565542799,3.180554681463517e-14,2.5444437451708134e-14,2.0121072253806396e-15,2.0121072253806396e-15,4.3353202144096744e-16,13.923925239580193,8.43959628614905,10.769097039823267,115.97345105313056,3.126388037344441e-13,3,2
5.0,1.2,5.0,15,0.75,same-theta Brent root,35.76946984610869,50.52160392619508,50.52160392619498,1.0177774980683254e-13,3.81666561775622e-14,2.5043480553908874e-15,2.5043480553908874e-15,4.3072944080494154e-16,14.894365063023042,9.410036109591898,11.766082976369143,138.44070860680415,3.979039320256561e-13,3,2
5.0,1.2,5.0,16,0.8,same-theta Brent root,37.52034563222513,52.92070818032005,52.92070818031998,6.997220299219736e-14,1.90833280887811e-14,1.6640031977919606e-15,1.6640031977919606e-15,2.3293045295315635e-16,15.912196461357324,10.42786750792618,12.807376114716373,164.0288829438077,2.5579538487363607e-13,3,2
5.0,1.2,5.0,17,0.8500000000000001,same-theta Brent root,39.27122141834157,55.52263814385288,55.52263814385286,1.90833280887811e-14,1.2722218725854067e-14,8.889468589889652e-16,8.889468589889652e-16,1.1897878546678298e-16,16.988819647201336,11.504490693770192,13.905035598815502,193.35001500432654,1.4210854715202004e-13,3,2
5.0,1.2,5.0,18,0.9,same-theta Brent root,41.022097204458014,58.43812753748159,58.438127537481584,1.2722218725854067e-14,6.3611093629270335e-15,5.134418019183536e-16,5.134418019183536e-16,7.223423288644455e-17,18.150813567318664,12.666484613887521,15.0863323223623,227.59742294075355,1.1368683772161603e-13,3,2
5.0,1.2,5.0,19,0.9500000000000001,same-theta Brent root,42.772972990574466,61.9597711217948,61.95977112179476,3.81666561775622e-14,1.2722218725854067e-14,4.938368917103565e-16,4.938368917103565e-16,7.926372970939467e-17,19.475352177651715,13.991023224220571,16.429516530831645,269.9290134368704,1.1368683772161603e-13,3,2
5.0,1.2,5.0,20,1.0,detachment endpoint,44.5238487766909,69.23222208145376,69.23222194479402,1.3665973266487884e-07,1.2722218725854067e-14,4.649329126485804e-16,4.649329126485804e-16,2.326001620787856e-17,21.856804710601722,16.372475757170577,18.8378524642267,354.86468546397185,-5.684341886080802e-14,2,1
5.0,1.2,10.0,0,0.0,CJ endpoint,12.949712107928777,37.40545308129814,37.40545308129814,0.0,0.0,0.0,9.876562033633805e-09,9.987711836381944e-17,9.224931443725781,1.7763568394002505e-15,1.7763568394002505e-15,1.4210854715202004e-14,1.4210854715202e-14,1,1
5.0,1.2,10.0,1,0.05,same-theta Brent root,14.251656145892092,37.53276372387265,37.5327637238723,3.434999055980598e-13,1.9894369532554298e-12,9.551139244262747e-14,9.551139244262747e-14,6.5221527172867334e-15,9.278572800435699,0.05364135670991921,0.7013561213229202,0.49190040891865294,1.5221157667610896e-12,3,2
5.0,1.2,10.0,2,0.1,same-theta Brent root,15.553600183855409,37.87869537888669,37.87869537888661,7.63333123551244e-14,2.2899993706537323e-13,1.1252806957592921e-14,1.1252806957592921e-14,1.291826271821536e-15,9.424646663461147,0.1997152197353671,1.3640366095227456,1.8605958721186369,3.2951419370874646e-13,3,2
5.0,1.2,10.0,3,0.15000000000000002,same-theta Brent root,16.855544221818725,38.40116799283969,38.401167992839454,2.353610464283002e-13,5.216109677600168e-13,2.676698760290585e-14,2.676698760290585e-14,4.092285221030371e-15,9.64611029394287,0.4211788502170908,2.0042657157778994,4.017081059443825,1.1297629498585593e-12,3,2
5.0,1.2,10.0,4,0.2,same-theta Brent root,18.15748825978204,39.06989472468027,39.06989472468019,8.269442171805144e-14,1.4312496066585825e-13,7.316032302800778e-15,7.316032302800778e-15,1.329739620884235e-15,9.930942457339638,0.7060110136138587,2.633404986417279,6.934821822487777,3.872457909892546e-13,3,2
5.0,1.2,10.0,5,0.25,same-theta Brent root,19.459432297745355,39.8628181294796,39.862818129479436,1.5902773407317584e-13,2.480832651541543e-13,1.3253938465613488e-14,1.3253938465613488e-14,2.6875360431497684e-15,10.270475368268361,1.0455439245425815,3.2595849714907263,10.62489418636909,8.917311333789257e-13,3,2
5.0,1.2,10.0,6,0.30000000000000004,same-theta Brent root,20.761376335708675,40.76380763183855,40.76380763183855,0.0,6.3611093629270335e-15,5.625609316664029e-16,5.625609316664029e-16,1.430094904795838e-17,10.65834111488598,1.4334096711602005,3.8887510740167546,15.122384915666444,-1.7763568394002505e-14,3,2
5.0,1.2,10.0,7,0.35000000000000003,same-theta Brent root,22.06332037367199,41.76116017558926,41.76116017558922,4.4527765540489235e-14,4.770832022195275e-14,2.4928575480118947e-15,2.4928575480118947e-15,5.486225890985035e-16,11.08979817824072,1.8648667345149406,4.5253553050779995,20.478840637197806,2.0961010704922955e-13,3,2
5.0,1.2,10.0,8,0.4,same-theta Brent root,23.365264411635305,42.84663163653506,42.84663163653503,2.5444437451708134e-14,2.8624992133171654e-14,1.5243605175560565e-15,1.5243605175560565e-15,2.7462562674379585e-16,11.561300332412989,2.3363688886872094,5.17283245495779,26.758195607064806,1.6697754290362354e-13,3,2
5.0,1.2,10.0,9,0.45,same-theta Brent root,24.66720844959862,44.01483904423767,44.0148390442376,6.997220299219736e-14,7.63333123551244e-14,4.196115555002315e-15,4.196115555002315e-15,1.065074296902123e-15,12.070227159701684,2.8452957159759045,5.833946365561708,34.03493019625114,4.760636329592671e-13,3,2
5.0,1.2,10.0,10,0.5,same-theta Brent root,25.969152487561935,45.26294639204556,45.26294639204556,0.0,3.180554681463517e-14,1.6944774520472366e-15,1.6944774520472366e-15,3.43813507935467e-16,12.614730396491026,3.389798952765247,6.511062837630391,42.39393927557175,2.3447910280083306e-13,3,2
5.0,1.2,10.0,11,0.55,same-theta Brent root,27.27109652552525,46.59060094745166,46.59060094745162,4.4527765540489235e-14,4.134721085902572e-14,2.3563967589981234e-15,2.3563967589981234e-15,6.014783809029148e-16,13.19367405919302,3.9687426154672405,7.206391419734356,51.932077294421305,3.623767952376511e-13,3,2
5.0,1.2,10.0,12,0.6000000000000001,same-theta Brent root,28.57304056348857,48.0001392166791,48.00013921667916,5.088887490341627e-14,3.180554681463517e-14,1.692297040715517e-15,1.692297040715517e-15,3.478692979858069e-16,13.806666202799823,4.581734759074044,7.9222354006136655,62.76181374273652,1.5631940186722204e-13,3,2
