M,gamma,Q,theta_index,xi,theta_deg,root_index,t,beta_deg,u,u_cj,R,D,D_minus_R2,cubic_rel_residual,geometry_ok,cj_ok,high_compression_ok,accepted
7.0,1.4,2.0,5,0.25,14.561013711951475,2,15.474092667047568,86.30245088102667,48.79621334777775,4.521701453968774,46.374960572069,2150.636968060955,9.094947017729282e-13,6.879858767618407e-17,True,True,True,True
7.0,1.4,2.0,6,0.30000000000000004,16.367169249897927,0,-0.04613136793229344,-2.6412601231478905,0.10405561118842441,4.521701453968774,-0.7192403433072614,0.5173066714404122,-3.3506530883187224e-13,5.103283634981984e-14,False,False,False,False
7.0,1.4,2.0,6,0.30000000000000004,16.367169249897927,1,0.4772911526247521,25.514730255342965,9.091442538758473,4.521701453968774,6.36670356241921,40.53491425172121,-2.4868995751603507e-13,5.666218907179095e-16,True,True,True,True
7.0,1.4,2.0,6,0.30000000000000004,16.367169249897927,2,13.599124932996002,85.79437336581674,48.736468744233285,4.521701453968774,46.315151697434914,2145.0932767564072,-9.094947017729282e-13,7.564274845079865e-17,True,True,True,True
7.0,1.4,2.0,7,0.35000000000000003,18.17332478784438,0,-0.04276803236717974,-2.4489353606688553,0.0894624887863456,4.521701453968774,-0.7639998252237608,0.5836957329417509,-1.8607337892717624e-13,2.739475521301286e-14,False,False,False,False
7.0,1.4,2.0,7,0.35000000000000003,18.17332478784438,1,0.5186691375675934,27.414376262780163,10.387456618068041,4.521701453968774,7.722242690768266,59.63303217512285,-1.0658141036401503e-12,1.737262961332299e-15,True,True,True,True
7.0,1.4,2.0,7,0.35000000000000003,18.17332478784438,2,12.0766775513877,85.26646587328833,48.666317413770415,4.521701453968774,46.244924688612045,2138.5930594553997,0.0,5.816234657463139e-17,True,True,True,True
7.0,1.4,2.0,8,0.4,19.97948032579083,0,-0.039713595369101906,-2.2742262928067873,0.07715961938943931,4.521701453968774,-0.7999978468114772,0.6399965549029825,-1.7319479184152442e-14,2.51931492968456e-15,False,False,False,False
7.0,1.4,2.0,8,0.4,19.97948032579083,1,0.5634181533222562,29.397699927904377,11.806655768944896,4.521701453968774,9.18693848892898,84.399838799364,-6.963318810448982e-13,9.033243410230775e-16,True,True,True,True
7.0,1.4,2.0,8,0.4,19.97948032579083,2,10.810187128864204,84.71487573207045,48.584253017136625,4.521701453968774,46.16277146988084,2131.0014697804445,4.547473508864641e-13,5.732966434685935e-17,True,True,True,True
7.0,1.4,2.0,9,0.45,21.785635863737284,0,-0.03694410718092067,-2.1157791836744577,0.06678732988809027,4.521701453968774,-0.8292754565410467,0.6876977828214952,1.3367085216486885e-13,1.868053702943351e-14,False,False,False,False
7.0,1.4,2.0,9,0.45,21.785635863737284,1,0.6117796791314154,31.45744762131976,13.344820173524473,4.521701453968774,10.7606528511779,115.7916497835611,-1.9753088054130785e-12,2.1066035468588274e-15,True,True,True,True
7.0,1.4,2.0,9,0.45,21.785635863737284,2,9.734902094219084,84.13496755819561,48.48834854133233,4.521701453968774,46.066762790987596,2122.1466340411203,9.094947017729282e-13,1.2504631061291446e-16,True,True,True,True
7.0,1.4,2.0,10,0.5,23.591791401683732,0,-0.034431150427086,-1.9719805857485035,0.05802091782978072,4.521701453968774,-0.853335515692347,0.7281815023417073,-2.1649348980190553e-13,2.968010102346145e-14,False,False,False,False
