gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.15,50.0,6.573783152803732,1.2,-49.84363736219822,1,1,16.759089397064542,27.665241501964953,68.94899011959274,27.66265082265084,68.71787751192743,37.52151606311597,16.780563623358347,True,True
1.15,50.0,8.217228941004667,1.5,-105.75255837843478,1,1,15.600355171055597,39.49006027235592,68.8543684137271,39.4888207029745,68.68457253887873,58.60080285260173,40.920436806049054,True,True
1.15,50.0,10.956305254672888,2.0,-226.54343711721728,1,1,12.37164816352276,48.234346904698704,70.77395639052965,48.23399801925182,70.6875057766532,106.91107976244822,90.65869111830021,True,True
1.15,50.0,16.434457882009333,3.0,-571.6602335137391,1,1,8.459669174509575,54.744300505536735,72.94181427908374,54.74424215227036,72.90859388686914,246.76214626233124,231.2551916198949,True,True
1.15,50.0,27.390763136682217,5.0,-1676.0339819826077,1,1,5.126867236662928,58.30102556159206,74.3274895050075,58.30101881766817,74.31669131882556,695.4306810613685,680.2438354098256,True,True
1.15,50.0,43.82522101869155,8.0,-4367.944993875476,1,1,3.2141208306136817,59.574123893422076,74.85252220259427,59.574122909655024,74.84847166676212,1789.4394803767698,1774.354436915928,True,True
1.15,50.0,82.17228941004666,15.0,-15480.70583784347,1,1,1.7165095997759967,60.1693871005415,75.10283716279328,60.16938702266066,75.10170747666211,6305.942462934838,6290.902868471677,True,True
1.2,1.0,1.5167436702662658,1.0005,-1.8412272671026784,1,1,0.6251458880892361,0.626583256251983,88.19267022148891,0.6264516320097417,88.19054489431224,2.29821769435055,0.0030885920938232836,True,True
1.2,1.0,1.5175016631049796,1.001,-1.8467471140633094,1,1,0.8829780468095113,0.8870378582952514,87.4503828508486,0.8866675138938817,87.44442217897776,2.2982330076585704,0.006170080329017669,True,True
1.2,1.0,1.5311455342018276,1.01,-1.94657595257488,1,1,2.730288539881768,2.8555614466745682,82.26827897249514,2.844870735879786,82.10508196017086,2.3001750540218953,0.06049902052745493,True,True
1.2,1.0,1.5917849612989299,1.05,-2.401070471241846,1,1,5.551626130976771,6.821103307456796,75.04440619102238,6.7373773959023575,73.95311355869387,2.340172864757433,0.28273050762759944,True,True
1.2,1.0,1.6675842451703076,1.1,-2.9940093153765384,1,1,7.036767185986266,10.260846633364359,71.4629110569809,10.099203069244885,69.56289967771181,2.4417811507712166,0.5367433056439683,True,True
1.2,1.0,1.8191828129130625,1.2,-4.262622656315878,1,1,8.191009611732767,15.754610486078537,68.38899900380511,15.519654810569728,65.80688734519232,2.753617878029101,1.0275484830030845,True,True
